Date,AAPL,AXP,BA,CAT,CSCO,CVX,DIS,DD,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,RTX,PFE,PG,TRV,UNH,V,VZ,WBA,WMT,XOM
20091231,7.526071071624756,40.52000045776367,54.130001068115234,56.9900016784668,23.940000534057617,76.98999786376953,32.25,39.32494354248047,168.83999633789062,28.93000030517578,125.14340209960938,20.399999618530273,64.41000366210938,41.66999816894531,28.5,62.439998626708984,82.66999816894531,34.86641311645508,30.479999542236328,16.517499923706055,43.68156051635742,17.25806427001953,60.630001068115234,49.86000061035156,30.479999542236328,21.864999771118164,31.072263717651367,36.720001220703125,53.45000076293945,68.19000244140625
20100104,7.643214225769043,40.91999816894531,56.18000030517578,58.54999923706055,24.690000534057617,79.05999755859375,32.06999969482422,41.531009674072266,173.0800018310547,28.670000076293945,126.62523651123047,20.8799991607666,64.68000030517578,42.849998474121094,28.520000457763672,62.779998779296875,83.0199966430664,35.314884185791016,30.950000762939453,16.337499618530273,45.07866668701172,17.96015167236328,61.119998931884766,49.810001373291016,31.530000686645508,22.03499984741211,31.21294593811035,37.29999923706055,54.22999954223633,69.1500015258789
20100105,7.656428813934326,40.83000183105469,58.02000045776367,59.25,24.579999923706055,79.62000274658203,31.989999771118164,43.381263732910156,176.13999938964844,28.8799991607666,125.0956039428711,20.8700008392334,63.93000030517578,43.68000030517578,28.174999237060547,62.29999923706055,82.5,35.45801544189453,30.959999084472656,16.40250015258789,44.4052848815918,17.7039852142334,61.13999938964844,48.630001068115234,31.479999542236328,21.782499313354492,31.26921844482422,37.0,53.689998626708984,69.41999816894531
20100106,7.534643173217773,41.4900016784668,59.779998779296875,59.43000030517578,24.420000076293945,79.62999725341797,31.81999969482422,44.14982986450195,174.25999450683594,28.780000686645508,124.2829818725586,20.799999237060547,64.44999694824219,43.91999816894531,28.165000915527344,61.45000076293945,83.66999816894531,35.935115814208984,30.770000457763672,16.302499771118164,44.17243576049805,17.647058486938477,60.849998474121094,47.939998626708984,31.790000915527344,21.489999771118164,29.937416076660156,36.720001220703125,53.56999969482422,70.0199966430664
20100107,7.520713806152344,41.97999954223633,62.20000076293945,59.66999816894531,24.530000686645508,79.33000183105469,31.829999923706055,44.17829132080078,177.6699981689453,29.1200008392334,123.85277557373047,20.600000381469727,63.9900016784668,44.790000915527344,28.094999313354492,61.900001525878906,83.7300033569336,35.992366790771484,30.450000762939453,16.462499618530273,44.36123275756836,17.580644607543945,60.52000045776367,48.630001068115234,33.0099983215332,21.690000534057617,29.759218215942383,36.939998626708984,53.599998474121094,69.80000305175781
20100108,7.570713996887207,41.95000076293945,61.599998474121094,60.34000015258789,24.65999984741211,79.47000122070312,31.8799991607666,44.33485412597656,174.30999755859375,28.979999542236328,125.0956039428711,20.829999923706055,64.20999908447266,44.68000030517578,27.575000762939453,61.84000015258789,84.31999969482422,35.97328186035156,30.65999984741211,16.43000030517578,44.4493408203125,17.722959518432617,60.439998626708984,48.560001373291016,32.70000076293945,21.75,29.77797508239746,36.9900016784668,53.33000183105469,69.5199966430664
20100111,7.503929138183594,41.470001220703125,60.869998931884766,64.12999725341797,24.59000015258789,80.87999725341797,31.360000610351562,43.77977752685547,171.55999755859375,28.15999984741211,123.78585052490234,20.950000762939453,64.22000122070312,44.529998779296875,28.135000228881836,62.31999969482422,83.9800033569336,36.11641311645508,30.270000457763672,16.227500915527344,45.412208557128906,17.86527442932129,60.20000076293945,48.540000915527344,32.91999816894531,21.6875,29.899900436401367,37.04999923706055,54.209999084472656,70.30000305175781
20100112,7.4185709953308105,42.02000045776367,60.43000030517578,62.2400016784668,24.200000762939453,80.41000366210938,30.81999969482422,43.92210388183594,167.82000732421875,27.979999542236328,124.77055358886719,20.610000610351562,64.55999755859375,43.4900016784668,28.440000534057617,62.65999984741211,84.05000305175781,35.83015441894531,30.06999969482422,16.204999923706055,45.147891998291016,17.808349609375,60.88999938964844,48.849998474121094,32.04999923706055,21.584999084472656,29.928037643432617,36.7400016784668,54.72999954223633,69.94999694824219
20100113,7.523213863372803,42.150001525878906,61.15999984741211,62.33000183105469,24.639999389648438,79.80000305175781,31.290000915527344,43.76554489135742,169.07000732421875,28.1299991607666,124.50286865234375,20.959999084472656,64.97000122070312,44.25,28.514999389648438,62.59000015258789,83.77999877929688,37.14694595336914,30.350000381469727,16.350000381469727,45.6639404296875,18.225805282592773,61.52000045776367,49.02000045776367,32.540000915527344,21.78499984741211,29.890522003173828,37.08000183105469,55.0099983215332,69.66999816894531
20100114,7.479642868041992,42.68000030517578,61.560001373291016,61.97999954223633,24.950000762939453,79.55000305175781,31.020000457763672,43.452423095703125,168.52999877929688,28.299999237060547,126.49139404296875,21.479999542236328,65.0999984741211,44.689998626708984,28.565000534057617,62.650001525878906,83.5,38.15839767456055,30.959999084472656,16.247499465942383,45.82126998901367,18.387096405029297,61.58000183105469,49.279998779296875,33.31999969482422,21.860000610351562,29.280895233154297,37.11000061035156,54.209999084472656,69.68000030517578
20100115,7.354642868041992,42.38999938964844,60.81999969482422,60.119998931884766,24.399999618530273,79.2300033569336,30.600000381469727,42.683860778808594,165.2100067138672,28.56999969482422,125.98470306396484,20.799999237060547,64.55999755859375,43.68000030517578,28.145000457763672,62.279998779296875,83.37000274658203,37.66221237182617,30.860000610351562,16.09749984741211,45.30522155761719,18.4914608001709,60.81999969482422,48.790000915527344,33.75,21.53499984741211,28.680646896362305,36.599998474121094,53.68000030517578,69.11000061035156
20100119,7.679999828338623,42.959999084472656,60.650001525878906,60.93000030517578,24.850000381469727,79.68000030517578,31.010000228881836,43.665916442871094,166.86000061035156,28.8799991607666,128.2409210205078,21.049999237060547,65.3499984741211,43.279998779296875,28.209999084472656,63.47999954223633,85.12000274658203,38.75954055786133,31.100000381469727,16.177499771118164,45.494022369384766,18.975332260131836,61.720001220703125,49.43000030517578,35.130001068115234,21.962499618530273,29.290273666381836,36.7400016784668,54.029998779296875,69.2699966430664
20100120,7.56178617477417,42.97999954223633,60.20000076293945,59.7599983215332,24.40999984741211,78.1500015258789,31.190000534057617,43.21046829223633,167.7899932861328,28.65999984741211,124.52198791503906,21.079999923706055,65.1500015258789,43.400001525878906,27.75,63.0099983215332,84.72000122070312,39.15076446533203,30.59000015258789,16.045000076293945,44.95280075073242,18.918405532836914,60.45000076293945,48.93000030517578,34.54999923706055,21.854999542236328,28.802570343017578,36.95000076293945,53.86000061035156,68.02999877929688
20100121,7.431070804595947,42.15999984741211,59.20000076293945,56.849998474121094,23.979999542236328,76.23999786376953,30.610000610351562,40.805145263671875,160.8699951171875,28.479999542236328,123.32695770263672,20.84000015258789,63.970001220703125,40.540000915527344,27.184999465942383,63.20000076293945,82.69999694824219,38.2442741394043,30.010000228881836,15.90999984741211,44.13467788696289,18.254268646240234,59.84000015258789,48.95000076293945,33.099998474121094,21.112499237060547,28.7275390625,36.45000076293945,52.91999816894531,66.69999694824219
20100122,7.0625,38.59000015258789,57.77000045776367,54.25,22.969999313354492,74.58999633789062,29.979999542236328,39.50996780395508,154.1199951171875,27.719999313354492,119.98088073730469,19.90999984741211,63.20000076293945,39.15999984741211,27.1200008392334,63.38999938964844,81.4800033569336,37.08969497680664,28.959999084472656,15.744999885559082,43.47388458251953,17.988615036010742,60.310001373291016,48.310001373291016,33.15999984741211,20.6825008392334,28.455551147460938,35.9900016784668,52.939998626708984,66.0999984741211
20100125,7.252500057220459,37.790000915527344,57.779998779296875,55.13999938964844,22.989999771118164,74.55000305175781,29.920000076293945,40.43509292602539,154.97999572753906,27.6200008392334,120.57361602783203,20.31999969482422,63.220001220703125,39.209999084472656,27.174999237060547,63.09000015258789,81.83000183105469,36.98473358154297,29.31999969482422,15.917499542236328,43.16551208496094,17.88425064086914,60.630001068115234,48.88999938964844,33.0,20.50749969482422,28.77443504333496,36.66999816894531,52.880001068115234,65.8499984741211
